"first_name","last_name"
"Tom","Schiller"
"Tony","Cinciripini"
"Tony","Gatlif"
"Tony (I)","Palmer"
"Tony (I)","Richardson"
"Tony (I)","Wharmby"
"Torgny","Anderberg"
"Trevor","Nunn"
"Urs","Odermatt"
"Valeriu","Gajiu"
"Victor","Fleming"
"Vladimir","Basov"
"Vladimír","Drha"
"Vojko","Duletic"
"W. Merle","Connell"
"W.B.","Eason"
"Wallace","Fox"
"Walter (I)","Hill"
"Walter (I)","Lang"
"Will","Jason"
"William","Beaudine"
"William","Dieterle"
"William","Witney"
"William","Wyler"
"William A.","Berke"
"William A.","Graham"
"William A.","Wellman"
"William K. (I)","Howard"
"Wojciech","Has"
"Yimou","Zhang"
"Zbynek","Brynych"
